Province_State,Date,Vaccine_Type,FIPS,Country_Region,Lat,Long_,Doses_alloc,Doses_shipped,Doses_admin,Stage_One_Doses,Stage_Two_Doses,Combined_Key
Alabama,2020-12-10,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-11,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-12,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-13,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-14,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-15,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-16,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-17,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-18,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-19,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-20,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-21,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-22,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-23,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-24,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-25,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-26,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-27,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-28,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-29,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-30,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-31,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-01,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-02,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-03,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-04,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-05,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-06,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-07,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-08,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-09,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-10,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-11,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-12,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-13,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-14,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-15,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-16,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-17,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-18,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-19,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-20,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-21,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-22,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-23,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-24,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-25,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-26,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-27,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-28,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-29,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-30,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-01-31,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-01,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-02,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-03,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-04,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-05,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-06,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-07,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-08,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-09,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-10,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-11,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-12,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-13,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-14,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-15,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-16,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-17,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-18,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-19,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-20,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-21,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-22,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-23,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-24,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-25,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-26,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-27,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-02-28,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-01,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-02,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-03,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-04,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-05,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-06,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-07,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-08,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-09,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-10,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-11,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-12,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-13,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-14,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-15,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2021-03-16,,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
